Line Info,Stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EOF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1 Red Line,SHAHEED STHAL (NEW BUS ADDA),HINDON RIVER,ARTHALA,MOHAN NAGAR,SHYAM PARK,MAJOR MOHIT SHARMA RAJENDRA NAGAR,RAJ BAGH,SHAHEED NAGAR,DILSHAD GARDEN,JHILMIL,MANSAROVAR PARK,SHAHDARA,WELCOME,SEELAMPUR,SHASTRI PARK,KASHMERE GATE,TIS HAZARI,PULBANGASH,PRATAP NAGAR,SHASTRI NAGAR,INDERLOK,KANHAIYA NAGAR,KESHAV PURAM,NETAJI SUBHASH PLACE,KOHAT ENCLAVE,PITAMPURA,ROHINI EAST,ROHINI WEST,RITHALA,,,,,,,,,,,,,,,,,,,,,,,,,
C1,"28.670618930513, 77.41545753507181","28.67345221003982, 77.40637546530287","28.67696980558908, 77.39179050745888","28.678499421561956, 77.38393307042466","28.67816893745944, 77.37023906115056","28.677596047908093, 77.35827989510305","28.677045155538835, 77.34674356597499","28.676645578342587, 77.33375905392516","28.67585875471693, 77.32152041746194","28.67574282287212, 77.31242381135118","28.675370379999276, 77.30103624605802","28.673426946876965, 77.28988217657506","28.672103753481156, 77.27991345119432","28.669846215988287, 77.26678747396399","28.668511044260157, 77.25036522574818","28.667474252444123, 77.22852364968915","28.667165503272404, 77.21668192528135","28.666404201528167, 77.20736614515589","28.666658095574565, 77.19891809487935","28.67004585248957, 77.18185508660191","28.67358478295307, 77.17025757217343","28.682370611488256, 77.1648052704383","28.688844053549403, 77.1617148026419","28.696038369577025, 77.15259469191173","28.697971280495754, 77.14062900693881","28.703080551854338, 77.1324379362362","28.70764376269316, 77.12591792816353","28.714861347419166, 77.11548313085453","28.720773448160813, 77.10716227032705",,,,,,,,,,,,,,,,,,,,,,,,,
 2 Yellow Line,SAMAYPUR BADLI,"ROHINI SECTOR - 18, 19",HAIDERPUR BADLI MOR,JAHANGIRPURI,ADARSH NAGAR,AZADPUR,MODEL TOWN,GURU TEG BAHADUR NAGAR,VISWAVIDYALAYA,VIDHAN SABHA,CIVIL LINES,KASHMERE GATE,CHANDNI CHOWK,CHAWRI BAZAR,NEW DELHI,RAJIV CHOWK,PATEL CHOWK,CENTRAL SECRETARIAT,UDYOG BHAWAN,LOK KALYAN MARG,JOR BAGH,DILLI HAAT - INA,AIIMS,GREEN PARK,HAUZ KHAS,MALVIYA NAGAR,SAKET,QUTAB MINAR,CHHATARPUR,SULTANPUR,GHITORNI,ARJAN GARH,GURU DRONACHARYA,SIKANDERPUR,MG ROAD,IFFCO CHOWK,HUDA CITY CENTRE,,,,,,,,,,,,,,,,,
C2,"28.74462316298796,77.13832630868131","28.73837333641859, 77.13985260083525","28.729996562889404, 77.14924098013617","28.725965268328835, 77.16270963805428","28.71648213878844, 77.17057110209666","28.706415617718086, 77.18248851324613","28.702879665986373, 77.19372164890594","28.698386398670344, 77.2058796357168","28.695176294564103, 77.21450566068275","28.687211753008572, 77.2216136836588","28.67732860999501, 77.22468366517577","28.667474252444123, 77.22852364968915","28.658824614571895, 77.23038038068292","28.648807590726776, 77.2262227889456","28.642894069731184, 77.22297385022243","28.632754989455933, 77.21970030486224","28.622933528955095, 77.21509361037639","28.615151976143185, 77.21221343672892","28.61069598346489, 77.21183933023718","28.597666696056745, 77.21129991899939","28.585891541739315, 77.21248658917948","28.57352737258168, 77.2093597910911","28.5677754556605, 77.20795277920207","28.559811791020433, 77.20702892181158","28.543361706854498, 77.20682755262601","28.52901342236331, 77.2052072417458","28.521182940679555, 77.20212930329328","28.513031058272276, 77.1863937037823","28.506840608085344, 77.174917579989","28.49928269422496, 77.16146095516307","28.493850534001105, 77.14916123954029","28.48089129824206, 77.12586033853559","28.48203839954436, 77.10224167440988","28.4813066561519, 77.0931225804318","28.479557165747824, 77.08002364764218","28.472248432777914, 77.0724461232635","28.459187519425473, 77.07249793379293",,,,,,,,,,,,,,,,,
 3 Blue Line,DWARKA SECTOR - 21,DWARKA SECTOR - 8,DWARKA SECTOR - 9,DWARKA SECTOR - 10,DWARKA SECTOR - 11,DWARKA SECTOR - 12,DWARKA SECTOR - 13,DWARKA SECTOR - 14,DWARKA,DWARKA MOR,NAWADA,UTTAM NAGAR WEST,UTTAM NAGAR EAST,JANAK PURI WEST,JANAK PURI EAST,TILAK NAGAR,SUBHASH NAGAR,TAGORE GARDEN,RAJOURI GARDEN,RAMESH NAGAR,MOTI NAGAR,KIRTI NAGAR,SHADIPUR,PATEL NAGAR,RAJENDRA PLACE,KAROL BAGH,JHANDEWALAN,RAMAKRISHNA ASHRAM MARG,RAJIV CHOWK,BARAKHAMBA ROAD,MANDI HOUSE,SUPREME COURT,INDRAPRASTHA,YAMUNA BANK,AKSHARDHAM,MAYUR VIHAR - 1,MAYUR VIHAR EXTENSION,NEW ASHOK NAGAR,NOIDA SECTOR-15,NOIDA SECTOR-16,NOIDA SECTOR-18,BOTANICAL GARDEN,GOLF COURSE,NOIDA CITY CENTRE,SECTOR-34 NOIDA,SECTOR - 52 NOIDA,SECTOR-61 NOIDA,SECTOR-59 NOIDA,SECTOR-62 NOIDA,NOIDA ELECTRONIC CITY,,,,
C3,"28.552168059881986, 77.05836614228588","28.565845080827014, 77.06702757255995","28.57432816891686, 77.0653148369226","28.581111213097746, 77.0574683860854","28.586518973634476, 77.04947540302346","28.592302335083467, 77.0406358095711","28.597216864509125, 77.03328315497926","28.60221730235502, 77.0259237227195","28.615381954082167, 77.02259079396576","28.619284466851912, 77.03328463978085","28.620226263237594, 77.04503486128559","28.621752397573818, 77.05579681229484","28.624841385522725, 77.06529964833793","28.629412431355036, 77.07768059130078","28.633025921559998, 77.0866899933896","28.636558853431218, 77.0964240786175","28.640375001923452, 77.10493110145862","28.643782962255845, 77.11284093119674","28.649865360477172, 77.12451797049827","28.65271756118544, 77.1316155666332","28.657920164471847, 77.14264341748121","28.655067718398968, 77.1517678643068","28.65161566063212, 77.15820320329254","28.645023149068567, 77.16920943916838","28.642575039388273, 77.17819999966594","28.643968585749644, 77.18846105863847","28.644288722163626, 77.19987654017375","28.63923135271116, 77.20855513517712","28.632754989455933, 77.21970030486224","28.62993723907739, 77.2244826043211","28.625641840389914, 77.23375968452831","28.623140368696998, 77.24286283964454","28.62052222650972, 77.24988619850166","28.623260405823427, 77.26796340566789","28.6180267229751, 77.27937841869222","28.6032574798121, 77.29002257838108","28.594182976165182, 77.29467167600039","28.58912434210166, 77.30207219097124","28.585081068725263, 77.31152858714923","28.578184617706874, 77.3177022256775","28.57076549035217, 77.32618092283836","28.563966881590815, 77.33410452003167","28.567190769939604, 77.34596940515061","28.57463044359465, 77.3560636909155","28.580228038819907, 77.36338421229938","28.586741230237443, 77.37274036524894","28.597635975169734, 77.3722374554376","28.606477622835623, 77.3726666088553","28.616973804427207, 77.37352491569067","28.627999408568687, 77.37498403731081",,,,
 4 Blue Line,DWARKA SECTOR - 21,DWARKA SECTOR - 8,DWARKA SECTOR - 9,DWARKA SECTOR - 10,DWARKA SECTOR - 11,DWARKA SECTOR - 12,DWARKA SECTOR - 13,DWARKA SECTOR - 14,DWARKA,DWARKA MOR,NAWADA,UTTAM NAGAR WEST,UTTAM NAGAR EAST,JANAK PURI WEST,JANAK PURI EAST,TILAK NAGAR,SUBHASH NAGAR,TAGORE GARDEN,RAJOURI GARDEN,RAMESH NAGAR,MOTI NAGAR,KIRTI NAGAR,SHADIPUR,PATEL NAGAR,RAJENDRA PLACE,KAROL BAGH,JHANDEWALAN,RAMAKRISHNA ASHRAM MARG,RAJIV CHOWK,BARAKHAMBA ROAD,MANDI HOUSE,SUPREME COURT,INDRAPRASTHA,YAMUNA BANK,LAXMI NAGAR,NIRMAN VIHAR,PREET VIHAR,KARKARDUMA,ANAND VIHAR ISBT,KAUSHAMBI,VAISHALI,,,,,,,,,,,,,
C4,"28.552168059881986, 77.05836614228588","28.565845080827014, 77.06702757255995","28.57432816891686, 77.0653148369226","28.581111213097746, 77.0574683860854","28.586518973634476, 77.04947540302346","28.592302335083467, 77.0406358095711","28.597216864509125, 77.03328315497926","28.60221730235502, 77.0259237227195","28.615381954082167, 77.02259079396576","28.619284466851912, 77.03328463978085","28.620226263237594, 77.04503486128559","28.621752397573818, 77.05579681229484","28.624841385522725, 77.06529964833793","28.629412431355036, 77.07768059130078","28.633025921559998, 77.0866899933896","28.636558853431218, 77.0964240786175","28.640375001923452, 77.10493110145862","28.643782962255845, 77.11284093119674","28.649865360477172, 77.12451797049827","28.65271756118544, 77.1316155666332","28.657920164471847, 77.14264341748121","28.655067718398968, 77.1517678643068","28.65161566063212, 77.15820320329254","28.645023149068567, 77.16920943916838","28.642575039388273, 77.17819999966594","28.643968585749644, 77.18846105863847","28.644288722163626, 77.19987654017375","28.63923135271116, 77.20855513517712","28.632754989455933, 77.21970030486224","28.62993723907739, 77.2244826043211","28.625641840389914, 77.23375968452831","28.623140368696998, 77.24286283964454","28.62052222650972, 77.24988619850166","28.623260405823427, 77.26796340566789","28.630655550925574, 77.27760456245163","28.63663356966843, 77.28680926437998","28.641691876589313, 77.29544354262654","28.648616208505814, 77.3065777876355","28.646932236340305, 77.31589623110098","28.645450489975616, 77.32434826647386","28.64984368585946, 77.3396408352801",,,,,,,,,,,,,
 5 Green Line,KIRTI NAGAR,SATGURU RAM SINGH MARG,ASHOK PARK MAIN,PUNJABI BAGH,PUNJABI BAGH WEST,SHIVAJI PARK,MADIPUR,PASCHIM VIHAR EAST,PASCHIM VIHAR WEST,PEERAGARHI,UDYOG NAGAR,MAHARAJA SURAJMAL STADIUM,NANGLOI,NANGLOI RAILWAY STATION,RAJDHANI PARK,MUNDKA,MUNDKA INDUSTRIAL AREA (MIA),GHEVRA METRO STATION,TIKRI KALAN,TIKRI BORDER,PANDIT SHREE RAM SHARMA,BAHADURGARH CITY,BRIG. HOSHIAR SINGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5,"28.655067718398968, 77.1517678643068","28.662113860043977, 77.15767853205634","28.671619162838, 77.15522638310378","28.672953515849247, 77.14606540661063","28.674143243650228, 77.13956088961106","28.674964673136394, 77.13058783495273","28.676369914015556, 77.11975895853357","28.6773207913783, 77.11239763334355","28.678620657054925, 77.10231738660859","28.679728039167248, 77.09274432292683","28.681045886937067, 77.08093487124742","28.681828994150152, 77.07398533595678","28.68234675261065, 77.06483856327262","28.68212708705785, 77.05624550140365","28.68224169047466, 77.04400449548396","28.682383313978054, 77.03048621159876","28.683397074399505, 77.01735822846184","28.685215121456768, 76.99620335383447","28.686830356555607, 76.97732627869479","28.687995112822172, 76.96413662730005","28.68924137977141, 76.95131397002169","28.690733067967024, 76.93548180630472","28.697409473310792, 76.91927523259513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 6 Green Line,INDERLOK,ASHOK PARK MAIN,PUNJABI BAGH,PUNJABI BAGH WEST,SHIVAJI PARK,MADIPUR,PASCHIM VIHAR EAST,PASCHIM VIHAR WEST,PEERAGARHI,UDYOG NAGAR,MAHARAJA SURAJMAL STADIUM,NANGLOI,NANGLOI RAILWAY STATION,RAJDHANI PARK,MUNDKA,MUNDKA INDUSTRIAL AREA (MIA),GHEVRA METRO STATION,TIKRI KALAN,TIKRI BORDER,PANDIT SHREE RAM SHARMA,BAHADURGARH CITY,BRIG. HOSHIAR SINGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6,"28.67359028536043, 77.17025531967889","28.671619162838, 77.15522638310378","28.672953515849247, 77.14606540661063","28.674143243650228, 77.13956088961106","28.674964673136394, 77.13058783495273","28.676369914015556, 77.11975895853357","28.6773207913783, 77.11239763334355","28.678620657054925, 77.10231738660859","28.679728039167248, 77.09274432292683","28.681045886937067, 77.08093487124742","28.681828994150152, 77.07398533595678","28.68234675261065, 77.06483856327262","28.68212708705785, 77.05624550140365","28.68224169047466, 77.04400449548396","28.682383313978054, 77.03048621159876","28.683397074399505, 77.01735822846184","28.685215121456768, 76.99620335383447","28.686830356555607, 76.97732627869479","28.687995112822172, 76.96413662730005","28.68924137977141, 76.95131397002169","28.690733067967024, 76.93548180630472","28.697409473310792, 76.91927523259513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 7 Violet Line,KASHMERE GATE,LAL QUILA,JAMA MASJID,DELHI GATE,ITO,MANDI HOUSE,JANPATH,CENTRAL SECRETARIAT,KHAN MARKET,JLN STADIUM,JANGPURA,LAJPAT NAGAR,MOOLCHAND,KAILASH COLONY,NEHRU PLACE,KALKAJI MANDIR,GOVINDPURI,HARKESH NAGAR OKHLA,JASOLA-APOLLO,SARITA VIHAR,MOHAN ESTATE,TUGHLAKABAD STATION,BADARPUR BORDER,SARAI,NHPC CHOWK,MEWALA MAHARAJPUR,SECTOR-28,BADKAL MOR,OLD FARIDABAD,NEELAM CHOWK AJRONDA,BATA CHOWK,ESCORTS MUJESAR,SANT SURDAS (SIHI),RAJA NAHAR SINGH(BALLABHGARH),,,,,,,,,,,,,,,,,,,,
C7,"28.667474252444123, 77.22852364968915","28.656865668845327, 77.23666596364589","28.649715512493554, 77.23827528896223","28.64014726103588, 77.24048542906333","28.628389128315092, 77.24110770151897","28.625641840389914, 77.23375968452831","28.625017720385603, 77.21933819673451","28.615151976143185, 77.21221343672892","28.602145613796125, 77.22905285667372","28.5894167011797, 77.2334759170587","28.583165091037376, 77.23922727729104","28.570412539936843, 77.236413691789","28.563941289008724, 77.23429914003185","28.555393294122844, 77.24194763548971","28.55140161542532, 77.25175798769398","28.55103164163951, 77.2579577557158","28.54439794592445, 77.26426929845546","28.54293415424121, 77.27500976178005","28.538123776379315, 77.2832796994697","28.52876563337409, 77.28826986940192","28.519524000933924, 77.29460571151067","28.503027813188822, 77.29950779251446","28.493692494228608, 77.30293034361458","28.478064608314504, 77.30485483657598","28.457707440948848, 77.30738029282652","28.448574594302897, 77.3080883959657","28.438013728188906, 77.3090083767995","28.422760717516784, 77.31028865570197","28.410776802236832, 77.31141764439043","28.397676361967847, 77.31232301823042","28.38597636820216, 77.31339976973678","28.37016622771236, 77.3149004140961","28.354470896055847, 77.31625319256409","28.33979124745477, 77.31643030915255",,,,,,,,,,,,,,,,,,,,
 8 Pink Line,MAJLIS PARK,AZADPUR,SHALIMAR BAGH,NETAJI SUBHASH PLACE,SHAKURPUR,PUNJABI BAGH WEST,ESI-BASAIDARAPUR,RAJOURI GARDEN,MAYAPURI,NARAINA VIHAR,DELHI CANTT.,DURGABAI DESHMUKH SOUTH CAMPUS,SIR M. VISHWESHWARAIAH MOTI BAGH,BHIKAJI CAMA PLACE,SAROJINI NAGAR,DILLI HAAT - INA,SOUTH EXTENSION,LAJPAT NAGAR,VINOBAPURI,ASHRAM,SARAI KALE KHAN - NIZAMUDDIN,MAYUR VIHAR - 1,MAYUR VIHAR POCKET-1,TRILOKPURI-SANJAY LAKE,EAST VINOD NAGAR-MAYUR VIHAR,MANDAWALI - WEST VINOD NAGAR,I.P. EXTENSION,ANAND VIHAR ISBT,KARKARDUMA,KARKARDUMA COURT,KRISHNA NAGAR,EAST AZAD NAGAR,WELCOME,JAFRABAD,MAUJPUR-BABARPUR,GOKULPURI,JOHRI ENCLAVE,SHIV VIHAR,,,,,,,,,,,,,,,,
C8,"28.72421643386946, 77.18201781086557","28.706415617718086, 77.18248851324613","28.701950302551328, 77.16513168878303","28.696077934519586, 77.15257894987704","28.6857063776289, 77.1495963336585","28.6728487384841, 77.13923227816939","28.658087804646126, 77.1275163894696","28.649865360477172, 77.12451797049827","28.63711014755346, 77.129737258402","28.6241147013328, 77.13655006908127","28.608768907106555, 77.14032142328412","28.589413527585574, 77.16955714885361","28.57851604954644, 77.17573337953365","28.570231003407166, 77.18788623296315","28.57580457226703, 77.19850529601054","28.57352737258168, 77.2093597910911","28.568648542765423, 77.22025868494708","28.570412539936843, 77.236413691789","28.56595366087301, 77.2505222644512","28.57216309331695, 77.25849915410974","28.589347225542944, 77.25714278089366","28.6032574798121, 77.29002257838108","28.605810851228412, 77.29873978581358","28.61361388065861, 77.30883409574389","28.6200747830683, 77.30525602907537","28.624858985241723, 77.304376264299","28.63195012792509, 77.31075992166403","28.646915020311827, 77.31589413969895","28.648616208505814, 77.3065777876355","28.65362764905314, 77.29562245289421","28.658005497421623, 77.29002200079847","28.664783740672696, 77.28479705790801","28.672103753481156, 77.27991345119432","28.68272344295145, 77.27479376748212","28.692088866381525, 77.27958463520656","28.702388196710384, 77.28598994769357","28.713239398129904, 77.29002935984016","28.721641803550014, 77.2895572910882",,,,,,,,,,,,,,,,
 9 Magenta Line,JANAK PURI WEST,DABRI MOR - JANAKPURI SOUTH,DASHRATHPURI,PALAM,SADAR BAZAR CANTONMENT,TERMINAL 1-IGI AIRPORT,SHANKAR VIHAR,VASANT VIHAR,MUNIRKA,R.K.PURAM,IIT,HAUZ KHAS,PANCHSHEEL PARK,CHIRAG DELHI,GREATER KAILASH,NEHRU ENCLAVE,KALKAJI MANDIR,OKHLA NSIC,SUKHDEV VIHAR,JAMIA MILIA ISLAMIYA,OKHLA VIHAR,JASOLA VIHAR SHAHEEN BAGH,KALINDI KUNJ,OKHLA BIRD SANCTUARY,BOTANICAL GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9,"28.629412431355036, 77.07768059130078","28.61591089728494, 77.08525267141356","28.602349347176908, 77.08250602468414","28.589067971730955, 77.08295867035643","28.577090151408754, 77.11131156645277","28.565309432670198, 77.12251662077206","28.560815869918823, 77.14034465188264","28.557882062687614, 77.1609937455619","28.55783552388592, 77.17388383033328","28.55049216126032, 77.1852855500895","28.54723274930823, 77.19383213397617","28.543361706854498, 77.20682755262601","28.542437716191984, 77.22050903431408","28.54126976201631, 77.22939036781167","28.54180753129963, 77.23826786971718","28.54588960520369, 77.25114918024039","28.55103164163951, 77.2579577557158","28.554478380714283, 77.26479651121836","28.559842072805658, 77.27508539454328","28.562926113224922, 77.28625777144346","28.561089069732553, 77.29191240296537","28.545934263969155, 77.29655140474857","28.54283147932832, 77.31018455096252","28.55286521582426, 77.32165235829477","28.563966881590815, 77.33410452003167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Grey Line,DWARKA,NANGLI,NAJAFGARH,DHANSA BUS STAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10,"28.615381954082167, 77.02259079396576","28.617248074694064, 77.0103817153654","28.61262489942758, 76.986515570878","28.61207097999164, 76.97796856170909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Orange Line(Airport Express),NEW DELHI,SHIVAJI STADIUM,DHAULA KUAN,DELHI AEROCITY,AIRPORT (T-3),DWARKA SECTOR - 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C11,"28.642894069731184, 77.22297385022243","28.628980996248387, 77.21123965359803","28.591818337661874, 77.16163081862881","28.54881745177958, 77.12076800653487","28.556899911128955, 77.08674771271762","28.552168059881986, 77.05836614228588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
